City,Temperature (C),Feels Like (C),Humidity (%),Pressure (hPa),Weather Description,Wind Speed (m/s),Cloudiness (%)
Nairobi,18.87,18.01,46,1015,overcast clouds,4.35,100
Kisumu,19.85,20.11,85,1016,light rain,2.3,99
Mombasa,26.23,26.23,78,1014,few clouds,3.6,20
Nakuru,18.1,17.95,76,1017,overcast clouds,0.7,100
Eldoret,15.04,14.85,86,1017,overcast clouds,1.44,98
Kericho,13.86,13.73,93,1018,overcast clouds,1.38,100
Nyeri,16.46,16.51,90,1018,light rain,1.44,100
Meru,19.53,19.44,73,1016,light rain,1.57,100
Malindi,25.54,26.24,80,1013,clear sky,5.96,9
Kajiado,21.98,21.25,39,1015,overcast clouds,4.47,100
Narok,16.91,16.64,76,1017,broken clouds,0.97,63
Bomet,14.88,14.75,89,1018,broken clouds,0.92,81
Embu,27.83,34.06,95,1010,broken clouds,4.17,79
Bungoma,17.59,17.7,88,1016,overcast clouds,2.4,100
Machakos,20.67,19.89,42,1015,overcast clouds,2.57,100
Kitui,22.63,22.18,47,1014,overcast clouds,4.23,100
Voi,22.89,23.17,74,1015,broken clouds,4.49,54
Garissa,26.97,27.84,57,1012,overcast clouds,8.45,85
Lamu,25.16,25.87,82,1013,broken clouds,5.91,68
Nyamira,17.58,17.69,88,1016,light rain,1.6,100
Migori,18.75,18.85,83,1015,overcast clouds,1.52,94
Siaya,18.39,18.61,89,1015,light rain,2.22,94
Homa Bay,20.57,20.88,84,1015,light rain,2.51,100
Kakamega,16.61,16.7,91,1016,light rain,2.0,100
Busia,18.0,18.23,91,1016,light rain,1.27,100
Nandi,20.77,21.44,97,1010,overcast clouds,1.35,100
Isiolo,25.4,25.35,52,1014,overcast clouds,0.91,100
Maralal,17.42,17.28,79,1017,moderate rain,0.57,98
Kiambu,18.71,18.1,56,1016,overcast clouds,3.15,100
Kapsabet,13.9,13.77,93,1018,overcast clouds,1.22,97
Nyahururu,15.06,14.68,79,1017,overcast clouds,0.63,100
Lodwar,29.9,30.06,44,1011,moderate rain,0.14,100
Marsabit,23.99,23.54,42,1012,overcast clouds,4.02,100
Thika,20.01,19.89,70,1016,overcast clouds,1.54,98
Kitale,14.04,13.95,94,1018,overcast clouds,1.24,99
Nanyuki,16.37,16.18,81,1018,light rain,1.2,92
Murang'a,19.72,19.86,81,1016,light rain,1.45,100
Mandera,31.99,32.82,43,1010,overcast clouds,6.1,90
Wundanyi,18.14,17.76,67,1015,broken clouds,3.09,62
Wote,23.34,22.88,44,1015,overcast clouds,4.66,98
Mumias,18.36,18.65,92,1016,light rain,2.15,100
Webuye,16.66,16.73,90,1017,overcast clouds,1.79,100
Kisii,15.55,15.59,93,1017,light rain,1.42,99
Eldama Ravine,14.62,14.36,85,1018,overcast clouds,1.29,100
Kapenguria,14.63,14.42,87,1017,overcast clouds,1.61,95
Kabarnet,13.96,13.74,89,1017,overcast clouds,0.46,100
Maua,26.9,28.69,70,1012,clear sky,4.85,0
Chuka,20.57,20.54,71,1015,light rain,1.43,100
Ngong,17.1,16.09,47,1015,overcast clouds,3.4,100
